symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
CRTM,2429,0.062165500205846026,0.23494720795750274,0.6655071939630783,8.295825575265154,True,0.37165378979661573,4.418197578890842,True,0.3036227693955028,0.6210267645346508,3.772068654917592,True,0.06867556143800008,0.136706581839113,False,
CSAP,2462,0.053208773354995936,0.20811523571871393,0.7502237496068431,6.8711098854091475,True,0.3144689081580162,4.029463405447057,True,0.23388174045840615,0.695001189903839,4.006721238607618,True,0.02576650473969222,0.10635367243930227,False,
CSIL,2472,0.007281553398058253,0.19585019277745563,0.7996150543019448,3.5975862719180483,True,0.20577856679517126,3.49644018513363,True,0.2116190164839378,0.7609261032697714,3.5374661960766636,True,0.015768823706482166,0.009928374017715624,False,
CTM,2433,0.006165228113440197,0.17220682794204212,0.7093124372041986,3.654201553901064,True,0.19004378091339302,3.4072500683021962,True,0.17125120463153815,0.6627011201705679,3.5179455292023443,True,-0.0009556233105039724,0.017836952971350906,False,
CYAN,2213,0.05377315860822413,0.21544805692507438,0.7215843175552041,6.748885697718819,True,0.33738462411146,3.761013710886459,True,0.24582048137075024,0.6498575362978263,3.6572599862949016,True,0.030372424445675866,0.1219365671863856,False,
DAAG,1837,0.18780620577027762,0.1932587739461914,0.7447167723271367,199.9999999848645,True,0.324290464505249,18.670416401824415,True,0.36596454832643766,0.6013055729196413,5.688181897366376,True,0.17270577438024626,0.1310316905590576,True,
DADX,1332,0.13063063063063063,0.20487462680702734,0.7151023780036466,28.713018372093117,True,0.4040900670309978,5.03521134631163,True,0.3129520613342299,0.6416243697797783,3.065464600024238,True,0.10807743452720259,0.19921544022397047,False,
DBCI,662,0.04833836858006042,0.8131027336921255,0.1399080107749327,5.365620737389504,True,0.9999999986201089,2.4867025181222306,True,0.9999894533663727,1.0544183764503559e-05,8.086041094769406,True,0.1868867196742472,0.18689726492798342,True,
DCL,2476,0.045234248788368334,0.23372196448178972,0.6775919255263413,5.0434882535275,True,0.3726353261315356,3.4736877677717,True,0.24715161989158996,0.6240072738803135,3.6543646237608787,True,0.013429655409800234,0.13891336164974588,False,
DCR,2472,0.0,0.504619559742286,0.49538044025725336,2.8912718261545,True,0.5046190228149033,2.891269115778334,True,0.5046189270550361,0.49538107294218003,2.8912694655083695,True,-6.326872499240466e-07,-5.369273826660859e-07,True,
DEL,2086,0.038350910834132314,0.2374829185703685,0.7613903186327597,4.354341828731023,True,0.31502600984306245,3.6232901080781117,True,0.3045629215226318,0.649470154461963,3.6268386743194174,True,0.06708000295226332,0.07754309127269396,False,
DFML,2476,0.09531502423263329,0.24406391300884817,0.7194599405380153,5.497183516604031,True,0.37660178711373427,3.7217043945387136,True,0.2779654549905082,0.6574367931106029,3.068248588442765,True,0.03390154198166001,0.1325378741048861,False,
DFSM,2466,0.017842660178426603,0.23355333567450115,0.6775341602214062,4.119650836544502,True,0.30384805516461827,3.6060462330187013,True,0.3099924600429921,0.565730560557191,3.560838443581613,True,0.07643912436849093,0.07029471949011712,False,
DGKC,2472,0.032766990291262135,0.12994228940849106,0.8288362297505332,5.931642696290417,True,0.1878664151235528,3.9006894200470184,True,0.12556598022299997,0.8275438201149689,4.163482940408589,True,-0.00437630918549109,0.057924125715061725,False,
DIIL,599,0.17696160267111852,0.5249825215714847,0.4750174784285133,3.6408548804364074,True,0.6644764321951552,3.412213094538691,True,0.42357693805845753,0.5764230619411608,2.2434631000386664,True,-0.1014055835130272,0.13949391062367045,True,
DINT,982,0.11710794297352342,0.2703254833575019,0.7296745166424973,3.122307199595583,True,0.27066788474870934,2.993765471820117,True,0.46118724979850545,0.5388127502014857,2.253102100222029,True,0.19086176644100356,0.0003424013912074475,True,
DLL,1699,0.02177751618599176,0.19712366068556714,0.7233740236231313,3.3289696820974433,True,0.2914978871633209,2.6537059761076254,True,0.17899823661848957,0.6515222332865398,2.9342711070874676,True,-0.018125424067077567,0.09437422647775379,False,
DMTM,543,0.13996316758747698,0.24387335207560745,0.7543185685575428,5.74686115217801,True,0.24472925647120602,3.770454639552736,True,0.3099610234263195,0.5786078989648431,2.687811823420529,True,0.06608767135071203,0.0008559043955985723,False,
